index,STORY,QUESTION,OPTION-A,OPTION-B,OPTION-C,OPTION-D,ANSWER,TASK
1524,"Yue Sheng often goes to a neighbor's house of the same age to play at night when he is a child. One day, he plays until late at night, his mother comes to him before going to bed and says, ""Come to play again tomorrow."" Yue Sheng feels invited, he doesn't really want to play with him the next day, but in order not to disappoint this kindness, he reluctantly goes to his house to play until midnight. His mother comes to him before going to bed and says, ""Come to play again tomorrow.""",What does the neighbor's mother really mean when she says this?,She really likes Yue Sheng.,She hopes Yue Sheng comes to her house to play every day.,She hints that Yue Sheng should leave.,She thinks Yue Sheng is a friend who brings fun to her son.,C,Hinting Task Test
1525,"Xiao Gang finds a cabinet in the attic, the label on the cabinet is vest, Xiao Gang cannot see what is inside the cabinet, Xiao Gang opens the cabinet and finds cabbage, there is no vest inside the cabinet, Xiao Gang closes the cabinet and puts it back in place, Youyou enters the attic and sees the cabinet.","After Youyou opens the cabinet, what does Xiaogang expect to find inside the cabinet?",Vest,Cabbage,Fingerless gloves woolen sweater,Sweater,B,False Belief Task
1526,"On Christmas Eve, Xiao Li comes home from school, looking forward to celebrating Christmas with her family. She sees her mother preparing dinner in the kitchen, and her father wrapping gifts in the living room. Xiao Li says: ""Dad, Mom, can we exchange gifts and light up the Christmas tree tonight?"" Her father replies: ""Of course, Xiao Li. Celebrating Christmas is a fun experience."" The family decorates the Christmas tree together, preparing for the evening's celebration. Xiao Li says: ""This is so interesting!""",What festival does Xiao Li want to celebrate with her family?,Spring Festival,Christmas,National Day,Mid-Autumn Festival,B,Faux-pas Recognition Test
1527,"Xiao Hong finds a basket in the bell tower, the label on the basket is pepper powder, Xiao Hong cannot see what is inside the basket, Xiao Hong opens the basket and finds a sweater, there is no pepper powder in the basket, Xiao Hong closes the basket and puts it back in its place, Youyou enters the bell tower and sees the basket.",What should be inside the basket?,Beetroot,Plate ruler,Sweater,Pepper powder,D,False Belief Task
1528,"Zhang Wei and Xiao Ming are wandering in the library, they see a suitcase and a handbag, they find a sweater in the suitcase, Xiao Ming leaves the library, Zhang Wei moves the sweater to the handbag.",Where is the sweater before?,Handbag,Locker,Basket,Suitcase,D,False Belief Task
1529,"Li Lei finds a handbag in the bar, the tag on the handbag is a cup, Li Lei cannot see what is inside the handbag, Li Lei opens the handbag and finds a pencil, there is no cup inside the handbag, Li Lei closes the handbag and puts it back in its place, Xiao Bei enters the bar and sees the handbag.","After Xiao Bei opens the handbag, what does Xiao Bei expect to find inside the handbag?",Cup,Jacket,Coconut,Pencil,A,False Belief Task
1530,"Xiao Bei and Xiao Ming are wandering in the parking lot, they see a box and a briefcase, they find corn in the box, Xiao Ming leaves the parking lot, Xiao Bei moves the corn to the briefcase.",Where is the corn now?,Briefcase,Basket,Cabinet,Box,A,False Belief Task
1531,"Zhang Quan is a resident of the community, receiving affirmation from those around him, but he does not want to actively participate in community activities. Jingya is the organizer of community activities, preparing to organize a community environmental protection activity. Good friend Wang An looks at Zhang Quan, Jingya leans over to Zhang Quan and says something, then clenches her fist, Zhang Quan looks at her, remains silent. Jingya tries to maintain a smile, Wang An sneakily glances at them. After Jingya leaves, Zhang Quan looks at her back, frowning.",What do you think Zhang Quan's mood is now?,"Zhang Quan feels a bit hesitant and conflicted, he does not want to participate in the activity but also does not want to upset Jingya.","Zhang Quan feels firm and resolute about his decision, Jingya's behavior does not affect him.","Zhang Quan feels angry and annoyed at Jingya, hopes Jingya does not disturb him.",Zhang Quan feels surprised and excited about the decision he is about to make.,A,Ambiguous Story Task
1532,"At 10 o'clock on Saturday morning, Xiao Ming comes to Xiao Jun's house, ready to play with Xiao Jun this weekend. Xiao Jun sits on the living room floor, opening the birthday gift Xiao Ming gives him two months ago - a cool toy airplane model. Xiao Ming happily says: ""Wow, you finally open this airplane model! It looks super cool!"" Xiao Jun smiles and says: ""Yeah, I think I can try to assemble it."" The two children happily assemble this model airplane together. After assembling, they excitedly bring the airplane to the park, wanting to test fly this model airplane. Xiao Ming says: ""I try to fly first!"" He controls the airplane for a while, accidentally flies too high, and the airplane falls into the bushes. Xiao Ming regretfully says: ""I'm really sorry, I fly too high."" Xiao Jun frowns, walks over, picks up the airplane from the bushes and says: ""Don't worry. I don't like it anyway, someone gives it to me on my birthday. Let's go buy an ice cream.""",Does Xiao Jun remember the airplane Xiao Ming gives him?,Remembers,Does not remember,,,B,Faux-pas Recognition Test
1533,"Zheming and Lanlan are a couple, they take care of grandfather. Grandfather just comes out of the hospital, he needs 25-hour care. The whole family eats dinner, the atmosphere is quite heavy. Zheming suddenly looks at Lanlan who holds the grandfather's health check report while eating, Lanlan sees the tension in Zheming's eyes. Lanlan does not speak, but her expression obviously becomes serious. Zheming realizes that grandfather is watching them, instantly changes his expression, Zheming smiles at grandfather, then starts to speak.",What do you think grandfather thinks?,Grandfather feels confused and puzzled.,Grandfather feels happy because Zheming treats him well.,"Grandfather is a bit worried, he thinks Zheming and Lanlan are arguing about the child.","Grandfather looks forward, he thinks Zheming is going to give him good news.",A,Ambiguous Story Task
1534,"Over the weekend, Xiao Li and Xiao Fang take a walk in the park. Xiao Fang trustingly says: ""My father possibly experiences some changes recently, but this is our family's little secret."" Xiao Li responds: ""Don't worry, I don't tell anyone."" The next day, at school, Xiao Li unintentionally says while chatting with a group of classmates: ""How does everyone feel recently? I hear some families are going through changes.""",Does anyone say something inappropriate in this story?,Someone in the story says something inappropriate.,No one in the story says anything inappropriate.,,,A,Faux-pas Recognition Test
1535,"On a beautiful night, Zhang Sheng decides to propose to his beloved girlfriend Li Lei in the park. He carefully plans a romantic proposal and prepares a beautiful engagement ring. When they walk to the fountain in the center of the park, Zhang Sheng nervously takes out the ring and kneels down, ready to propose to Li Lei. However, he is full of unease because he knows that Li Lei always longs to live far away from city life, to live in a quiet place. He also wants to spend his life with her, but he does not want to leave his city job, and he does not leave the city. In order to persuade Li Lei to agree to marry him as soon as possible, he says, ""Li Lei, I am willing to leave the city and go to the quiet place you want.""",Why does Zhang Sheng say this?,"He does not want to leave the city, so he hopes Li Lei changes her mind.","Zhang Sheng wants to spend his life with Li Lei, so he is willing to give up city life.",Zhang Sheng says this in order to persuade Li Lei to agree to marry him as soon as possible.,Zhang Sheng thinks leaving the city is the only way to persuade Li Lei to marry him.,C,Strange Story Task
1536,"In the team meeting, the supervisor asks about Xiao Lin's project status. Xiao Lin answers, ""The project encounters unexpected challenges."" Xiao Zhou optimistically comments, ""You always keep such a low profile, surely you have a surprise to show us again!"" Xiao Lin softly says, ""I do my best."" Then, the supervisor says, ""Okay, we continue to discuss other matters.""","If there is, which sentence is inappropriate?",The project encounters unexpected challenges.,"You always keep such a low profile, surely you have surprises to show us again!",I do my best.,"Okay, we continue to discuss other matters.",B,Faux-pas Recognition Test
1537,"Wang Hao and Li Jie come from wealthy families. They once fight over a small matter. When Li Jie gets married, Wang Hao comes to the wedding.",What is Li Jie's reaction?,Regretful,Happy,Jealous,Embarrassed,D,Unexpected Outcome Test
1538,"Xiao Li and Xiao Gang are wandering in the bar, they see a box and a safe, they find a bottle in the box, Xiao Gang leaves the bar, Xiao Li moves the bottle to the safe.","After Xiao Gang returns to the bar, where does Xiao Li look for the bottle?",Box,Suitcase,Handbag,Safe,D,False Belief Task
1539,"Xiao Li prepares to move because he finds a better job. On Saturday afternoon, Xiao Li prepares for the last gathering and invites his good friend Xiao Zhang. When Xiao Zhang arrives at Xiao Li's house, he finds some boxes. ""Wow, so many boxes, are you doing a big cleanup?"" Xiao Zhang asks. Xiao Li laughs and avoids the specific details: ""Oh, I am doing some sorting recently."" Xiao Zhang jokes: ""You have too many things, it is easier for me to come and play in the future, I don't need to bring things every time!""",Does anyone say something inappropriate in this story?,Someone says something inappropriate in the story.,No one says anything inappropriate in the story.,,,A,Faux-pas Recognition Test
1540,"Xiao Li finds a storage locker in the storage room, the label on the storage locker is zucchini, Xiao Li cannot see what is inside the storage locker, Xiao Li opens the storage locker and finds crayons, there is no zucchini in the storage locker, Xiao Li closes the storage locker and puts it back in its place, Zhang Wei enters the storage room and sees the storage locker.",What is in the storage locker?,Crayons,Coconut,Beet,Zucchini,A,False Belief Task
1541,"On Saturday afternoon, Xiao Li gets two complimentary tickets for a newly released romance movie and invites her good friend Xiao Min to go to the cinema. Xiao Min looks at the movie introduction and says, ""I don't really like this kind of movie, I don't know any of the male and female leads, this movie looks very boring."" Xiao Li says, ""Actually, I think the plot seems not bad, we can chat while watching the movie, it's also quite good."" Xiao Min says, ""I really have no interest in this kind of movie, let's forget it, watching this boring movie is really a waste of time.""","If there is, which sentence is inappropriate?","I don't really like this kind of movie, I don't know any of the male and female leads, this movie looks very boring.","Actually, I think the plot seems pretty good, we can watch the movie and chat at the same time, it's quite nice.","I really have no interest in this kind of movie, let's forget it, watching this boring movie is really a waste of time.",There is no inappropriate sentence.,C,Faux-pas Recognition Test
1542,"Su Ting takes a gondola for the first time in Venice, Italy. She always dreams of experiencing this unique water transportation.","Su Ting should feel excited on the gondola, but she feels sad. Why is this?","Su Ting is disappointed with the water quality in Venice, which affects her mood.",Su Ting remembers her deceased grandmother. She and her grandmother plan this trip together.,"Su Ting feels seasick on the gondola, which makes her feel uncomfortable and sad.","Su Ting finds out she loses a pen she carries with her, which makes her very sad.",B,Unexpected Outcome Test
1543,"Xiaoyue has to do some arithmetic problems at school. She makes some silly mistakes. During the break, her friends talk about their performance, no one makes any mistakes. Xiaoyue tries to pretend she does as well as them.",Why does Xiaoyue seem happy?,Because she likes arithmetic problems,To not disappoint her friends,Because she wants to perform as well as her friends,Because her mistakes are discovered,C,Hidden emotions
1544,"In the mysterious underground world of Terra Valley, a small, mischievous robot named Grimmo lives. Terra Valley is surrounded by a realm without sky and celestial bodies, Grimmo never sees the sky, nor does he see humans. However, Terra Valley itself is a miracle, full of bioluminescent fungi and twinkling minerals. Grimmo is engaging in imitation behavior: he extends his arms, slowly rotates around his own axis, evoking the image of a spinning top or a spinning dancer.",What does Grimmo possibly imitate?,A spinning top.,The rotation of a planet.,A dancer's spiral rotation.,A glowing mushroom spinning in the wind.,D,Knowledge-pretend play links
1545,"Li Lei and Han Meimei are wandering in the living room, they see the cabinet, box and handbag, they find a sweatshirt in the cabinet, Han Meimei leaves the living room, Li Lei moves the sweatshirt to the handbag.","After Han Meimei returns to the living room, where does Han Meimei think Li Lei looks for the sweatshirt?",Cabinet,Box,Handbag,Backpack,A,False Belief Task
1546,"In a cinema, there are 25 movie posters. The ticket seller tells the manager that most of the posters on display are for comedy movies, and a very small part are for romance movies or action movies. After the manager checks, he finds that only 3 are for action movies.",How many action movie posters does the manager guess before checking?,"Before checking, the manager guesses there are 20 action movie posters.","Before checking, the manager guesses there are 10 action movie posters.","Before checking, the manager guesses there are 8 action movie posters.","Before checking, the manager guesses there are 25 action movie posters.",A,Scalar Implicature Test
1547,"Cao Sheng and Wang Hong are a couple. One day, Wang Hong makes dinner, Cao Sheng takes a bite and says, ""Does our home not buy salt for a long time?",What does Cao Sheng really want to say when he says this?,Cao Sheng is asking if the salt in the house is used up.,Cao Sheng is expressing his increased need for salt.,Cao Sheng implies that the dinner Wang Hong makes does not have enough salt.,Cao Sheng is reminding them that they need to buy more ingredients.,C,Hinting Task Test
1548,"On a peaceful Friday afternoon, Xiao Hong suggests her colleagues Xiao Gang and Xiao Fang take a break in the tea room. The three of them gather there, each holding a drink of their choice. Xiao Hong wants to find some light topics to chat about, so she asks Xiao Gang: ""What fun things do you plan to do on the weekend?"" Xiao Gang always shows enthusiasm in sharing his weekend plans, and he replies: ""If the weather is good, I want to go hiking."" Xiao Fang then says: ""That sounds nice! I probably stay at home and take a good rest, enjoying a leisurely weekend."" They continue to chat about personal leisure activities and weekend plans, and the sound of relaxed laughter echoes in the tea room.","When Xiao Fang asks Xiao Gang about his weekend plans, what are they doing?",Preparing a report,Resting in the pantry,Meeting with a client,Preparing to leave the office,B,Faux-pas Recognition Test
1549,"Li Lei and Huang Rong are a loving and interesting couple. If they argue, they coax each other and everything is fine. But one day, because of the wife's carelessness, they almost lose their child, and the husband is very angry. After the incident, the wife knows she is wrong, and smiles at her husband, saying, ""Dear, you are the prime minister now, and the prime minister's belly can hold a boat, so don't be angry.""",Is what the wife says true?,Yes,No,,,B,Strange Story Task
1550,"Xiao Li finds a basket on the balcony, the label on the basket is socks, Xiao Li cannot see what is inside the basket, Xiao Li opens the basket and finds a jacket, there are no socks inside the basket, Xiao Li closes the basket and puts it back in its place, Xiao Zhang enters the balcony and sees the basket.",What is inside the basket?,Can,Corn,Socks,Jacket,D,False Belief Task
1551,"Li Hua is a person who is passionate about outdoor adventures, and he goes hiking or camping every weekend. He always seeks fresh and exciting experiences. Wang Fang, a quiet librarian, spends her weekends in a quiet library, reading and organizing books. She likes a calm and orderly environment. This weekend, Li Hua invites Wang Fang to go out for the weekend.",Where does Li Hua plan to spend the weekend with Wang Fang?,Hiking,Library,Sports Park,Skiing,B,Discrepant desires
1552,"At the family dinner on the weekend, Xiao Li and her family have dinner at her uncle's house. The TV broadcasts recent policy news. The uncle listens quietly, with no expression on his face. Xiao Li comments, ""Many people probably agree with this new policy."" The uncle responds, ""Hmm, but there is always some controversy."" Xiao Li continues, ""I think those who oppose it may not see its benefits.""","If there is, which sentence is inappropriate?",Many people probably agree with this new policy.,"Hmm, but there is always some controversy.",I think those who oppose it probably do not see its benefits.,There is no inappropriate sentence,C,Faux-pas Recognition Test
1553,"Manager Li usually prefers light food. His birthday is coming soon, and the office decides to hold a small birthday party for him. Assistant Wang is in charge of organizing the party and asks everyone about food preferences. Director Zhang suggests, ""We can order some special dishes."" On the day of the party, Director Zhang happily announces, ""The spicy Sichuan cuisine I highly recommend is here, Manager Li definitely likes it!"" Manager Li smiles and says, ""Thank you for your arrangement, I try it later.""",Does Director Zhang know that Manager Li does not eat spicy food?,Knows,Does not know,,,B,Faux-pas Recognition Test
1554,Sister Xiaofang finds that her younger sister Xiaolu always borrows her clothes without telling her. Xiaofang hopes Xiaolu does not do this anymore.,How does Xiaofang convince Xiaolu?,"We can buy clothes together, so everyone has their own clothes to wear.","Xiaolu, do you think your clothes are not good-looking?","Xiaolu, we can set a clothes exchange day once a week, that day you can choose the clothes you want to wear.","If you want to wear my clothes, you can ask me first, I definitely agree.",D,Persuasion Story Task
1555,"Youyou finds a box in the garden, the label on the box is a ring, Youyou cannot see what is inside the box, Youyou opens the box and finds a carrot, there is no ring in the box, Youyou closes the box and puts it back in its place, Lilei enters the garden and sees the box.","After Li Lei opens the box, what does Youyou expect to find in the box?",Carrot,Spoon,Jacket,Ring,A,False Belief Task
1556,"On Sunday morning, Xiao Hua rides a bike to Xiao Lei's house. Xiao Lei is sitting in the driveway of the front yard studying the birthday gift Xiao Hua gives him a few months ago - a cool remote control car. Xiao Hua happily says: ""Do you still enjoy playing with this car?"" Xiao Lei laughs and says: ""Super happy, this remote control function is very good."" The two children happily control the car together in the driveway. Xiao Hua says: ""I also want to try the remote control!"" He takes over the remote control, drives for a while, and accidentally drives the car into the bushes during a turn. Xiao Hua says regretfully: ""I'm really sorry, I drive off course."" Xiao Lei walks over, pushes the car out of the bushes and says: ""It's okay, we can fix it together, and then continue to play!""",Does anyone say something inappropriate in this story?,Someone in the story says something inappropriate,No one in the story says anything inappropriate.,,,B,Faux-pas Recognition Test
1557,"Wang Mei and her friend Zhao Min form a team to participate in a speech competition. The speech team wins the first place, Zhao Min wins the first place individually, but Wang Mei does not make it to the top three. Wang Mei says to Zhao Min, ""I am so happy. You are great, congratulations!"" But she says to her sister, ""I am really disappointed.""",Why does Wang Mei express both happiness and disappointment?,"She is happy that Zhao Min wins, but disappointed that Zhao Min does not comfort her.","She is happy that the team wins the competition, but disappointed that she does not win.","She is happy that Zhao Min wins, but disappointed that she does not win the individual competition.","She is happy that the team wins the competition, but disappointed that Zhao Min does not comfort her.",C,Strange Story Task
1558,"Xiao Gang finds a handbag in the waiting room, the tag on the handbag is a ring, Xiao Gang cannot see what is inside the handbag, Xiao Gang opens the handbag and finds a tie, there is no ring inside the handbag, Xiao Gang closes the handbag and puts it back in its place, Xiao Li enters the waiting room and sees the handbag.","After Xiao Li opens the handbag, what does Xiao Li expect to find inside the handbag?",Tomato,Tie,Dress,Ring,D,False Belief Task
1559,"Chen Tao, while touring in Mexico, finally finds a mysterious alley unknown to people, filled with colorful murals and unique handicrafts, but the quality and artistry of the murals and handicrafts in the alley do not meet his expectations.",What is Chen Tao feeling right now?,Terror,Curious,Disappointed,Thrilled,C,Unexpected Outcome Test
1560,"Huang Li and Chen Jie sit in the company's rest area, they are whispering and discussing something. The office door slowly opens, Wang Qiang walks in, he seems to be looking for something, and does not hear the conversation. The conversation between Chen Jie and Huang Li suddenly stops, they quickly switch topics, and start to talk about recent weather changes. As Wang Qiang walks by, Huang Li gives him a slight nod and a polite smile. Chen Jie, while Wang Qiang is not paying attention, quietly gives Huang Li a confirming look. Wang Qiang sits back in his own position, Huang Li and Chen Jie also return to their work, but their eyes still communicate from time to time.",What do you think Wang Qiang thinks after seeing Huang Li nod and smile?,Wang Qiang feels he receives polite treatment.,Wang Qiang feels Huang Li and Chen Jie are discussing him.,Wang Qiang thinks Huang Li and Chen Jie are discussing a secret project.,Wang Qiang thinks Huang Li and Chen Jie think the recent weather is good.,A,Ambiguous Story Task
1561,"Hua Hua, Xuan Xuan, and Le Le are classmates in the class, they are working together to complete a group assignment. Le Le just returns to the classroom, sees Hua Hua talking to Xuan Xuan in front of the computer, Xuan Xuan listens very attentively. Le Le previously tells Hua Hua that she is very worried about the overall performance of the team because Xuan Xuan lacks relevant experience. When Le Le approaches, Hua Hua stops talking and gives Xuan Xuan a slight smile. Le Le only sees Hua Hua's smile, does not hear clearly what they are talking about.",What do you think Le Le thinks?,"Le Le possibly is unhappy, he feels that the two people have secrets, but do not tell him.","Le Le possibly feels relieved and happy, because she sees Hua Hua is guiding Xuan Xuan.","Le Le is surprised at Hua Hua's behavior, but also hopes to get some help.","Le Le is very angry, because she dislikes Xuan Xuan, but Hua Hua is still so close to Xuan Xuan.",A,Ambiguous Story Task
1562,Xiaohua wants to persuade his parents to allow him to go out at night to attend a friend's birthday party. His parents worry about the safety of going out at night and hope that he focuses on the upcoming academic exams.,How does Xiaohua persuade his parents?,He can propose to hold a small party at home or participate in other safe social activities as an alternative.,He suggests that parents or other adult relatives attend the party to increase the confidence of the parents.,"He can promise to send messages to his parents regularly, informing them of his situation.",He proposes this as a trial and guarantees that it does not affect the grades.,C,Persuasion Story Task
1563,"Li Lei and Xiao Bei are hanging out at the bar. They see handbags and briefcases, and inside the handbag, they find a cup. Xiao Bei leaves the bar, and Li Lei moves the cup to the briefcase.",Does Xiao Bei see anything in the briefcase?,A cup,Does not see,A wine glass,A handbag,B,Percepts-knowledge links
1564,"Zhao Tao really likes to taste food, he participates in an international food festival for the first time. He stops in front of each booth, observes and tastes special foods from different countries.","Zhao Tao should be curious about the food at the international food festival, but why does he look very disappointed?","Zhao Tao finds that some of the food at the food festival does not look good, which makes him feel disappointed.","Zhao Tao finds that many foods do not suit his taste, the experience of participating is not strong.","There are too many people at the food festival, Zhao Tao can only taste a few foods he wants to try.","Zhao Tao encounters a food he does not like at the food festival, which greatly reduces his experience.",B,Unexpected Outcome Test
1565,"Xiao Zhao and Xiao Wang are good friends. Xiao Wang breaks up last weekend. One day, when Xiao Zhao sees Xiao Wang, he says, ""Xiao Wang, why don't you come to the party last weekend? We all miss you."" Xiao Wang briefly replies, ""Oh, I have something."" Seeing this, Xiao Zhao says, ""I hear you are not in a good mood recently, do you want to talk?"" Xiao Wang nods, ""Thank you, I may need some time."" Xiao Zhao responds, ""No problem, when you are ready, we can go out together.""",Does anyone say something inappropriate in this story?,Someone says something inappropriate in the story.,No one says anything inappropriate in the story.,,,B,Faux-pas Recognition Test
1566,"As the semester is about to start, Xiao Li and Xiao Zhang are both looking for roommates. They are good friends in college and often take classes together. One day, Xiao Li and Xiao Zhang meet in the library. Xiao Zhang asks, ""Who do you want to be your roommate for the new semester?"" Xiao Li replies, ""I am considering a few options, I may choose someone I have not lived with before."" Xiao Zhang is silent for a moment after hearing this, then says, ""Okay, I wish you a smooth choice."" Then he changes the subject and starts talking about other things. Later, Xiao Li and another classmate, Xiao Zhao, become roommates.",Does anyone say something inappropriate in this story?,Someone in the story says something inappropriate.,No one in the story says anything inappropriate.,,,B,Faux-pas Recognition Test
1567,"Zhang Wei's photography works are unique. Today, he participates for the first time and carefully prepares his own organized photography exhibition. The exhibition displays his carefully shot works over the years. He stands in the center of the exhibition hall, proudly watching visitors appreciate his works.","Zhang Wei should feel proud at his photography exhibition, but why does he look anxious?","Zhang Wei worries that the number of visitors to the exhibition is not enough, which affects his mood.","There is a lot of noise at the exhibition site, which makes him worry that the audience cannot understand his works well.","Zhang Wei loses some important works before the exhibition, which makes him very anxious.",Zhang Wei worries that visitors may not like or understand his artistic style.,D,Unexpected Outcome Test
1568,High school student Li Hua stays up until three in the morning to complete his homework. Li Hua's parents find that the light in Li Hua's room is still on.,What kind of emotion does Li Hua have?,Happy,Worry,Sadness,Tired,D,Discrepant emotions
1569,"Lao Wang works in the most powerful team in the company, and everyone in the team has strong work ability. He is a perfectionist and cannot tolerate any flaws in his work. In a work meeting, Lao Wang summarizes many detail problems that exist in the current work. Subordinate Xiao Zhang suddenly asks Lao Wang, ""Lao Wang, do you like to eat fish?",What does Xiao Zhang really mean when he says these words?,Xiao Zhang is asking about Lao Wang's eating habits in order to invite Old Wang to eat in the future.,Xiao Zhang wants to invite Lao Wang to eat fish to promote their relationship.,Xiao Zhang is mocking Lao Wang for being picky.,Xiao Zhang wants to change the topic to ease the tension of the work meeting.,C,Hinting Task Test
1570,"On Sunday night, Xiaoqiang's family gathers to discuss the future of the family business. Dad says, ""The future of our family business is very important, I always think about how we should choose the successor."" Mom nods in agreement. Dad looks at Xiaoqiang and continues, ""Xiaoqiang, you have a talent for art, you can develop in this area in the future."" Xiaoqiang replies, ""Actually, I am also very interested in the family business.""",Does Dad know that Xiaoqiang is interested in the family business?,He knows,He does not know,,,B,Faux-pas Recognition Test
1571,"Wang Ming attends his favorite football team's live game for the first time. The moment the team scores, the whole field erupts in cheers, and Wang Ming waves the team flag in the crowd.","Wang Ming should be excited when his team scores, but he seems angry, why?","Wang Ming thinks a referee's decision is against his favorite team, so he is angry.","After scoring, the opposing team's players insult and push the players of the team Wang Ming likes.","Although Wang Ming's favorite team scores, he is dissatisfied with the performance of one of the players.","Some noisy behaviors that Wang Ming does not like happen on the field, which makes him angry.",B,Unexpected Outcome Test
1572,"Zhang Hua receives an invitation to attend a wedding of an important client. The wedding is too luxurious and impractical. At the wedding, the client asks Zhang Hua about his opinion on the wedding. Zhang Hua smiles and responds that the wedding is very wonderful and unforgettable. His answer makes the client very happy because this client spends a lot of time and money to prepare for this wedding.",Why does Zhang Hua say this?,Zhang Hua says this because he truly thinks the wedding is very exciting and unforgettable.,Zhang Hua tries to get extra business benefits from the client by praising the wedding.,"Zhang Hua has some misunderstandings with the client before, he says this to make up for the previous unpleasantness.","Zhang Hua says this because he is out of social politeness, wants to avoid hurting the client's feelings, and maintains a good client relationship.",D,Strange Story Task
1573,"Han Meimei finds a cabinet in the rest room, the label on the cabinet is carrot, Han Meimei cannot see what is inside the cabinet, Han Meimei opens the cabinet and finds a tie, there is no carrot in the cabinet, Han Meimei closes the cabinet and puts it back in place, Zhang Wei enters the rest room and sees the cabinet.",What is in the cabinet?,Bottle,Crayon,Tie,Carrot,C,False Belief Task
1574,"On the way to school, Xiao Ma sees an old man who has difficulty walking, he helps the old man cross the road.",What kind of emotion does Xiao Ma have?,Proud,Angry,Sadness,Grateful,A,Discrepant emotions
1575,"Xiao Ming and Xiao Li are wandering in the bank, they see a handbag and a box, they find chalk in the handbag, Xiao Li leaves the bank, Xiao Ming moves the chalk to the box.","After Xiao Li returns to the bank, where does Xiao Li look for the chalk?",Backpack,Tote bag,Handbag,Box,C,False Belief Task
1576,"Xiao Li finds a drawer in the lounge, the label on the drawer is buttons, Xiao Li cannot see what is inside the drawer, Xiao Li opens the drawer and finds a cup, there are no buttons in the drawer, Xiao Li closes the drawer and puts it back in its place, Xiao Bei enters the lounge and sees the drawer.",What should be inside the drawer?,Buttons,Cup,Mask,Book,A,False Belief Task
1577,"Zhang and his friends are in line at the amusement park waiting to ride the roller coaster. The line is long and everyone seems a little impatient. Zhang says, ""Do you know why the roller coaster is always so high? Because it wants to say hello to the sun!"" After saying this, Zhang makes a funny gesture of waving to the sky, and his friends all laugh.",Is what Zhang says true?,Yes,No,,,B,Strange Story Task
1578,"In a college campus activity, the usually quiet and introverted Xiao Zhang suddenly shines on stage. He wears sunglasses, wears his hat backwards, imitates the singing and movements of a famous singer, says he is that singer, and gives a stunning performance. His classmates all laugh at his performance, and the recorded video quickly becomes popular on the internet.",Why does Xiao Zhang say this?,"Xiao Zhang does this because he really wants to become that famous singer, this is his career dream.",Xiao Zhang disguises himself because he is tired of his real identity and wants to hide his true face.,"Xiao Zhang chooses to disguise as a famous singer for entertaining his classmates, bringing everyone a surprise, and also for challenging himself, trying different lifestyles.","Xiao Zhang chooses to do this because of the encouragement and support from his classmates, he wants to show his versatility.",C,Strange Story Task
1579,"Li Na just moves to a new community, she organizes a welcome party, invites all the neighbors. Everyone gathers in her backyard, enjoys food and music, is very happy.","Li Na should feel joyful at the welcome party, but she appears somewhat disappointed, why is this?",Li Na finds that her neighbors do not show interest in the party she organizes.,"Li Na guesses her good friend comes to the party, but the friend does not show up in the end.","Only a few neighbors attend the party, most of them make excuses for not coming.","Li Na spends a lot of energy and money preparing for the party, but the effect is not ideal.",C,Unexpected Outcome Test
1580,"Mr. Zhao is a respected historian, focusing on the study of ancient Chinese military strategy. In a public lecture, someone asks Mr. Zhao if he ever provides advice to the military. Mr. Zhao replies that his research only limits to the academic field and never involves in actual military strategy. He adds that his interest only lies in history, unrelated to the present. In fact, Mr. Zhao secretly participates in an important national defense project.",Why does Mr. Zhao say this?,"Mr. Zhao says this because he is not actually interested in military strategy, preferring to study ancient culture and art.","Mr. Zhao just experiences a failed collaboration, he says this to avoid getting involved in unpleasant projects again.","Mr. Zhao is misunderstood as having a military background, he says this to clarify that he is just a scholar, unrelated to the military.","Mr. Zhao says this because he needs to cover up the truth of participating in the national defense project, to protect himself and the safety of the project.",D,Strange Story Task
1581,"Han Meimei finds a backpack in the garden, the label on the backpack is tomato, Han Meimei cannot see what is inside the backpack, Han Meimei opens the backpack and finds a light bulb, there are no tomatoes in the backpack, Han Meimei closes the backpack and puts it back in its place, Li Lei enters the garden and sees the backpack.","After Li Lei opens the backpack, what does Li Lei think Han Meimei expects to find inside the backpack?",Tomato,Light bulb,Banana,Jacket,A,False Belief Task
1582,"Li Ting thinks she is an experienced gardener, Zhang Hua is Li Ting's student, once, she sees Zhang Hua uses what she thinks are inefficient and outdated gardening techniques in the garden, but it is very beneficial for the garden growth.",What is Li Ting's reaction when she sees Zhang Hua using traditional techniques?,Sympathy,Admiration,Contempt,Proud,D,Unexpected Outcome Test
1583,"Nana helps her mother, her mother says she can stay up late to watch TV. Her little brother also wants to stay up late, so her mother says she cannot tell her brother because her brother is very young, he should go to bed early.",Why does Nana appear calm?,Because she does not care about her brother,Because she likes to watch TV,Because she acts very confident,Because she cannot let her brother know that he can watch TV,D,Hidden emotions
1584,"Xiao Ming finds a box in the garage, the label on the box is hats, Xiao Ming cannot see what is inside the box, Xiao Ming opens the box and finds a notebook, there are no hats inside the box, Xiao Ming closes the box and puts it back in its place, Xiao Li enters the garage and sees the box.","After Xiao Li opens the box, what does Xiao Ming think Xiao Li expects to find in the box?",Notebook,Calculator,Hat,Cup,C,False Belief Task
